21:13:14.257 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:13:14.258 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:13:14.725 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:13:14.725 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:13:19.279 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:15:15.682 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/axdkqb43qjgytpdgdjnfigslo6ol223gtkyphn31 to view build report, insights, and many more debugging information all at one place!

21:15:16.244 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/5052900be9138fd0d9399e5ec981799e1c0e7fce
21:15:16.245 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:22:51.567 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:22:51.569 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:22:51.820 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:22:52.125 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:22:52.126 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:22:52.754 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:22:52.755 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
